person,person_url,universities_category,alma_mater,awards,birth_date,birth_name,birth_place,caption,children,death_date,death_place,doctoral_advisor,doctoral_students,education,field,fields,image,image_size,imagesize,known_for,name,nationality,occupation,office,office1,office2,party,predecessor,predecessor1,predecessor2,predecessor3,president,prizes,religion,residence,signature,spouse,successor,successor1,successor2,successor3,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,work_institution,work_institutions,workplaces
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,,,,,Pennsylvania; Philadelphia,,,,Baltimore; Maryland; U.S,,,,,,Alexander Haig Official Portrait.jpg,,220px,,Alexander Haig,,,Bộ trưởng Ngoại giao Hoa Kỳ thứ 59,,Tham mưu trưởng Nhà Trắng,Cộng hòa,Edmund Muskie,,H.R. Haldeman,,Ronald Reagan,,Công giáo La Mã,,,Patricia Haig,George P. Shultz,,Donald Rumsfeld,,5 tháng 7 năm 1982,,1974,,22 tháng 1 năm 1981,,1973,,,,
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,,,11 tháng 1 năm 1757,,Greenwich Village; New York,,,,New York,,,,,,Alexander Hamilton portrait by John Trumbull 1806.jpg,,220px,,Alexander Hamilton,,,,,,Đảng liên bang,''Đầu tiên'',,,,George Washington,,,,,Elizabeth Schuyler Hamilton,Oliver Wolcott Jr,,,,31 tháng 1 năm 1795,,,,11 tháng 9 năm 1789,,,,,,
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,* Đại học California tại Berkeley (PhD); * Đại học Harvard; {{Plainlist|; }},DEA Awards (nhiều); {{Plainlist|; }},,Alexander Theodore Shulgin,Berkeley; California; Hoa Kỳ,Shulgin (phải) với vợ Ann năm 2011,,,California; Hoa Kỳ; Lafayette,,,,,Hóa học; sinh học; triết học; tâm lý học,Shulgin sasha 2011 hanna jon.jpg,,,* ''PiHKAL''; * ''TiHKAL''; * Họ 2C; * Họ DOx; * Nhiều phenethylamine; * Shulgin Index; * Shulgin Rating Scale; * Shulgin Research Institute; * Tái phát hiện MDMA; tryptamine; {{Plainlist|; }},Alexander Shulgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Bio-Rad Laboratories; * Cognitive Liberty/Ethics Centre; * Dow Chemical; * Hải quân Hoa Kỳ; * MAPS; * San Francisco General Hospital; * San Francisco State University; {{Plainlist|; }}
Alfred G. Gilman,https://vi.wikipedia.org/wiki/Alfred_G._Gilman,Đại học Yale,,,1 tháng 7 năm 1941,,Connecticut; New Haven,Alfred Goodman Gilman,,,Dallas; Mỹ; Texas,,,,Dược lý học,,Alfred Goodman Gilman (cropped).jpg,,,G protein,Alfred Goodman Gilman,Mỹ,,,,,,,,,,,Giải Nobel Sinh lý; Y khoa năm 1994,,Mỹ,,,,,,,,,,,,,,,,,
Alfred Kinsey,https://vi.wikipedia.org/wiki/Alfred_Kinsey,Đại học Harvard,Trường cao đẳng Bowdoin; Đại học Harvard,,23 tháng 6 năm 1894,,Hoboken; Mỹ; New Jersey,Alfred Kinsey trên tạp chí Time,,,Bloomington; Indiana; Mỹ,,,,Sinh học,,,,,Tình dục học,Alfred Charles Kinsey,Mỹ,,,,,,,,,,,,,Mỹ,,,,,,,,,,,,,,,Đại học Indiana,,
Alfred Sturtevant,https://vi.wikipedia.org/wiki/Alfred_Sturtevant,Đại học Columbia,Đại học Columbia,,21 tháng 11 năm 1891,,Illinois; Jacksonville; Mỹ,,,,,Thomas Hunt Morgan,Edward B. Lewis,,Di truyền học,,,220px,,Bản đồ gen di truyền đầu tiên,Alfred Sturtevant,,,,,,,,,,,,* Giải John J. Carty cho thăng tiến Khoa học (1965); * Huy chương Khoa học Quốc gia năm 1967,,,,,,,,,,,,,,,,,,Viện Công nghệ California,
Allan Hendry,https://vi.wikipedia.org/wiki/Allan_Hendry,Đại học Michigan,Đại học Michigan (Cử nhân),,1950,,,,,,,,,,Thiên văn học,,,,,''Sổ tay UFO'',Allan Hendry,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Spear,https://vi.wikipedia.org/wiki/Allan_Spear,Đại học Yale,,,,,Indiana; Thành phố Michigan,,,,Minneapolis; Minnesota,,,,,,,,,,Allan H. Spear,,,Chủ tịch Thượng viện Minnesota,,,Đảng Dân chủ – Nông dân – Lao động Minnesota,,,,,,,,,,Junjiro Tsuji,,,,,Tháng 1 năm 2001,,2001,,Tháng 1 năm 1993,,1973,,,,
Allen Ginsberg,https://vi.wikipedia.org/wiki/Allen_Ginsberg,Đại học Columbia,,,3 tháng 6 năm 1926,,Hoa Kỳ; New Jersey; Newark,,,5 tháng 4 năm 1997,Hoa Kỳ; New York,,,,,,Allen Ginsberg.jpg,,195px,,Irwin Allen Ginsberg,Mỹ,Nhà thơ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin E. Roth,https://vi.wikipedia.org/wiki/Alvin_E._Roth,Đại học Stanford,Đại học Columbia; Đại học Stanford,Giải tưởng nhớ Nobel trong Khoa học kinh tế (2012),,,,Al Roth; Sydney Ideas lecture 2012,,<!--   (death date then birth date) -->,,,,,,Lý thuyết trò chơi; kinh tế học thực nghiệm; thiết kế thị trường,Al Roth; Sydney Ideas lecture 2012c.jpg,,,,Alvin Eliot Roth,United States,,,,,,,,,,,,,,<!--(filename only)-->,,,,,,,,,,,,,,,,
Amanda Nguyễn,https://vi.wikipedia.org/wiki/Amanda_Nguy%E1%BB%85n,Đại học Harvard,,"''Forbes'' 30 Under 30<ref name='NBC'> </ref>; Giải thưởng Heinz hàng năm lần thứ 24 về chính sách công cộng (2019)<ref name=""heinzawards.net""> </ref>; Người phụ nữ của năm 2022 của ''Time''<ref name=""time.com1""> </ref>",,,California; Hoa Kỳ,,,,,,,Đại học Harvard (BA),,,How Will We Govern Ourselves in Space? (48322984212).jpg,,,Đạo luật về Quyền của những người sống sót sau khi bị tấn công tình dục,Amanda Nguyen,,CEO của Rise<ref> </ref>; Người sáng lập,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Peet,https://vi.wikipedia.org/wiki/Amanda_Peet,Đại học Columbia,,,,,,Amanda Peet tại một sự kiện từ thiện vào tháng 10 năm 2009,,,,,,,,,Amanda Peet at Light Up a Life.jpg,,,,,,diễn viên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aminta Granera,https://vi.wikipedia.org/wiki/Aminta_Granera,Đại học Georgetown,,,,,León; Nicaragua,Aminta Granera in 2013,,,,,,,,,Aminta Granera (cropped).jpg,,,,Aminta Granera Sacasa,,,Tổng Chỉ huy Cảnh sát Quốc gia Nicaragua,,,,Edwin Cordero Ardila,,,,,,,,,,,,,,ngày 27 tháng 4 năm 2018,,,,ngày 5 tháng 9 năm 2006,,,,,,
Amy Mainzer,https://vi.wikipedia.org/wiki/Amy_Mainzer,Đại học Stanford,Viện công nghệ California; Đại học California; Đại học Stanford,,,,,,,,,,,,Thiên văn học,,Amy Mainzer.jpg,150,,Thiết bị vật lý thiên văn; thiên văn học thiên hà,Amy Mainzer,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phòng thí nghiệm phóng tên lửa,,
Andrea M. Ghez,https://vi.wikipedia.org/wiki/Andrea_M._Ghez,Viện Công nghệ Massachusetts,Viện Công nghệ California; Viện công nghệ Massachusetts,,,,New York,,,,,,,,Thiên văn học,,,,,Sử dụng adaptive optics trong nghiên cứu trung tâm Ngân Hà.<ref> </ref>,Andrea Ghez,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles; Đại học California,
Andrew McCollum,https://vi.wikipedia.org/wiki/Andrew_McCollum,Đại học Harvard,Harvard University (BS; MEd),,,,California; Hoa kỳ,,,,,,,,,,,,,Đồng sáng lập Facebook,Andrew McCollum,,Giám đốc điều hành của Philo; Nhà đầu tư thiên thần,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Aciman,https://vi.wikipedia.org/wiki/Andr%C3%A9_Aciman,Đại học Harvard,,,,,Ai Cập; Alexandria,Aciman năm 2017,bao gồm Alexander,,,,,,,,André Aciman Call Me By Your Name Press Conference Berlinale 2017 (cropped).jpg,,,,André Aciman,*Ý; Hoa Kỳ}}; {{flatlist|,*Nhà văn; Học giả}}; {{flatlist|,,,,,,,,,,,,,André Aciman signature.jpg,Susan Wiviott,,,,,,,,,,,,,,,
Anthony Lake,https://vi.wikipedia.org/wiki/Anthony_Lake,Đại học Harvard,Cambridge; Harvard University; Princeton University; Trinity College,,,William Anthony Kirsopp Lake,,,,,,,,,,,Anthony Lake 0c175 7741.jpg,,,,Tony Lake,,,Giám đốc điều hành UNICEF,18th United States National Security Advisor,Director of Policy Planning,Đảng Dân chủ,Ann Veneman,Brent Scowcroft,Winston Lord,,,,Do Thái giáo,,,Julie Katzman,,Sandy Berger,Paul Wolfowitz,,,ngày 14 tháng 3 năm 1997,1981,,30 tháng 4 năm 2010,ngày 20 tháng 1 năm 1993,1977,,,,
Antonin Scalia,https://vi.wikipedia.org/wiki/Antonin_Scalia,Đại học Georgetown,Đại học Georgetown; Đại học Harvard,,,Antonin Gregory Scalia,Hoa Kỳ; New Jersey; Trenton,,including Eugene,2016 (79 tuổi); February 12/13,Hoa Kỳ; Shafter; Texas,,,,,,Antonin Scalia Official SCOTUS Portrait.jpg,,,,Antonin Scalia,,,Thẩm phán Tối cao Pháp viện Hoa Kỳ,Thẩm phán Tòa Phúc thẩm Hoa Kỳ Đặc khu Columbia Circuit,Phó tổng chưởng lý Hoa Kỳ cho Văn phòng cố vấn pháp lý,Cộng hòa<ref>[http://www.politico.com/story/2016/02/john-boehner-antonin-scalia-vice-president-219318 Boehner: I wanted Scalia to be VP in '96]</ref>,William Rehnquist,Roger Robb,Roger C. Cramton,,,,Công giáo Rôma,,Antonin Scalia Signature.svg,,Neil Gorsuch,David Sentelle,John Harmon,,13 tháng 2 năm 2016,26 tháng 9 năm 1986,20 tháng 1 năm 1977,,26 tháng 9 năm 1986,17 tháng 8 năm 1982,22 tháng 8 năm 1974,,,,
Aravind Adiga,https://vi.wikipedia.org/wiki/Aravind_Adiga,Đại học Columbia,Đại học Columbia,'''2008 Man Booker Prize'''; (The White Tiger),,,,,,,,,,,,,,,,,Aravind Adiga,,Nhà văn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armen Alchian,https://vi.wikipedia.org/wiki/Armen_Alchian,Đại học Stanford,,,,,,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arno Allan Penzias,https://vi.wikipedia.org/wiki/Arno_Allan_Penzias,Đại học Columbia,CCNY; Trường Đại học Tổng hợp Columbia,,,,Bavaria; München; Đức,Arno Allan Penzias; nhà vật lý người Mỹ,,}},California; Hoa Kỳ; San Francisco,,,,Vật lý,,Arno Penzias.jpg,,,Bức xạ phông vi sóng vũ trụ,Arno Allan Penzias,Hoa Kỳ,,,,,,,,,,,20px Giải Nobel vật lý (1978),,,,,,,,,,,,,,,,,Bell Labs,,
Art Feltman,https://vi.wikipedia.org/wiki/Art_Feltman,Đại học Wesleyan,,,,,N.J; Paterson,,,,,,,,,,,,,,Arthur J. Feltman,,,,,,Dân chủ,,,,,,,Jewish<ref> </ref>,Conn; Hartford,,,,,,,Tháng 1 năm 2009,,,,Tháng 1 năm 1997,,,,,,
Arthur Cronquist,https://vi.wikipedia.org/wiki/Arthur_Cronquist,Đại học Minnesota,Đại học Minnesota; Đại học bang Idaho; Đại học bang Utah,,19 tháng 3 năm 1919,,California; San Jose,,,,Provo; Utah,,,,Phân loại thực vật,,Arthur Cronquist - American botanist.jpg,250,,Hệ thống Cronquist,Arthur John Cronquist,Mỹ,,,,,,,,,,,Giải thưởng Leidy; Huân chương Linnean,,,,,,,,,,,,,,,,,Vườn thực vật New York,,
Arthur Miller,https://vi.wikipedia.org/wiki/Arthur_Miller,Đại học Michigan,Đại học Michigan,Pulitzer Prize for Drama |  Kennedy Center Honors |  Praemium Imperiale}},,Arthur Asher Miller,Harlem; Hoa Kỳ; Thành phố New York,,,,Connecticut; Hoa Kỳ; Roxbury,,,,,,Arthur-miller.jpg,,,,Arthur Miller,American,,,,,,,,,,,,,,Arthur Miller signature.svg,|  |  }},,,,,,,,,,,,,,,
Arthur T. Benjamin,https://vi.wikipedia.org/wiki/Arthur_T._Benjamin,Đại học Johns Hopkins,Đại học Carnegie Mellon; Đại học Johns Hopkins,,,,Cleveland; Hoa Kỳ; Ohio,,,,,Alan J. Goldman,,,Toán học; toán học tổ hợp,,ABActionShot.jpg,240px,,"""ảo thuật toán học""; Thực hiện tính nhẩm; toán học tổ hợp",Arthur T. Benjamin,Hoa Kỳ,,,,,,,,,,,Người chơi của năm trong American Backgammon Tour (1997),,California; Claremont; Hoa Kỳ,,,,,,,,,,,,,,,Trường đại học Harvey Mudd,,
Ashraf Ghani,https://vi.wikipedia.org/wiki/Ashraf_Ghani,Đại học Columbia,Đại học Columbia; Đại học Hoa Kỳ ở Beirut,,,Ashraf Ghani Ahmadzai,Afghanistan; Logar,,,,,,,,,,Ashraf Ghani December 2014.jpg,,,,Mohammad Ashraf Ghani; محمد اشرف غنی,Afghan,,Tổng thống Afghanistan,,Hiệu trưởng Đại học Kabul,Độc lập,Hamid Karzai,,Habibullah Habib,Hedayat Amin Arsala,,,Hồi giáo,,,Rula Ghani,Amrullah Saleh (quyền),,Hamidullah Amin,Anwar ul-Haq Ahady,15 tháng 8 năm 2021,,21 tháng 12 năm 2008,14 tháng 12 năm 2004,29 tháng 9 năm 2014,,22 tháng 12 năm 2004,2 tháng 6 năm 2002,,,
Ashton Carter,https://vi.wikipedia.org/wiki/Ashton_Carter,Đại học Yale,Cao đẳng St. John; Đại học Yale,,1954; 24 tháng 9,,Hoa Kỳ; Pennsylvania; Philadelphia,,,,Boston; Hoa Kỳ; Massachusetts,,,,,,Ash Carter DOD Secretary Portrait.jpg,,220 px,,Ashton Carter,,,Bộ trưởng Bộ Quốc phòng Hoa Kỳ thứ 25,Thứ trưởng bộ Quốc phòng Hoa Kỳ (thứ 30),Kỹ thuật; Thứ trưởng Quốc phòng đặc trách Quân dụng; Tiếp liệu,Đảng Dân chủ,Chuck Hagel,William Lynn,John Young,Stephen Hadley,Barack Obama,,,,,,James Mattis,Robert O. Work,Frank Kendall,JD Crouch (2001),20 tháng 1 năm 2017,3 tháng 12 năm 2013,5 tháng 10 năm 2011,14 tháng 9 năm 1996,17 tháng 2 năm 2015,5 tháng 10 năm 2011,27 tháng 4 năm 2009,30 tháng 6 năm 1993,,,
Asō Tarō,https://vi.wikipedia.org/wiki/As%C5%8D_Tar%C5%8D,Đại học Stanford,,,20 tháng 9 năm 1940 (  tuổi),,Fukuoka; Iizuka; Đế quốc Nhật Bản,Chân dung do Văn phòng Quan hệ Công chúng Nội các công bố (2017),,,,,,<!-- RELIGION REMOVED PER PROJECT-WIDE CONSENSUS AT THE VILLAGE PUMP. https://en.wikipedia.org/wiki/Wikipedia:Village_pump_(policy)/Archive_126#RfC:_Religion_in_biographical_infoboxes -->; Khoa học Chính trị London; Trường Kinh tế; Đại học Gakushuin; Đại học Stanford,,,Tarō Asō 20170920 (cropped).jpg,,250px,,Asō Tarō,,,Thủ tướng thứ 92 của Nhật Bản,Phó Thủ tướng Nhật Bản,Bộ trưởng Tài chính,Đảng Dân chủ Tự do,Fukuda Yasuo,Okada Katsuya,Jojima Koriki,Machimura Nobutaka,,,,,Tarō Asō signature.svg,Suzuki Chikako,Hatoyama Yukio,''Bỏ trống'',Suzuki Shunichi,Machimura Nobutaka,16 tháng 9 năm 2009,4 tháng 10 năm 2021,4 tháng 10 năm 2021,27 tháng 8 năm 2007,24 tháng 9 năm 2008,26 tháng 12 năm 2012,26 tháng 12 năm 2012,31 tháng 10 năm 2005,,,
Audre Lorde,https://vi.wikipedia.org/wiki/Audre_Lorde,Đại học Columbia,Cao đẳng Hunter; Trung học Cao đẳng Hunter; Đại học Columbia; Đại học Quốc gia México,,ngày 18 tháng 2; năm 1934,Audrey Geraldine Lorde,Hoa Kỳ; New York City,Lorde vào năm 1980,,,Saint Croix; U.S. Virgin Islands,,,,,,Audre Lorde.jpg,,,,Audre Lorde,,Nhà thơ; nhà hoạt động xã hội; nhà văn; thủ thư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auliʻi Cravalho,https://vi.wikipedia.org/wiki/Auli%CA%BBi_Cravalho,Đại học Columbia,Đại học Columbia,,,Chloe Auliʻi Cravalho<ref> </ref>,Hawaii; Kohala; Mỹ,Cravalho năm 2017,,,,,,,,,Auliʻi Cravalho 2017.jpg,,,,Auliʻi Cravalho,,Diễn viên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ban Ki-moon,https://vi.wikipedia.org/wiki/Ban_Ki-moon,Đại học Harvard,,,,,Eumseong; Hàn Quốc,Ban Ki-moon năm 2016,,,,,,Đại học Harvard; Đại học Seoul,,,Ban Ki-moon February 2016.jpg,,220px,,,,,Tổng thư ký thứ 8 của Liên Hợp Quốc,Ngoại trưởng Hàn Quốc,,,Kofi Annan,Yoon Young-kwan,,,,,,,Ban Ki Moon Signature.svg,Yoo Soon-taek,António Guterres,Song Min-soon,,,31 tháng 12 năm 2016,1 tháng 12 năm 2006,,,1 tháng 1 năm 2007,17 tháng 1 năm 2004,,,,,
Barack Obama,https://vi.wikipedia.org/wiki/Barack_Obama,Đại học Columbia,,Danh sách danh hiệu; giải thưởng,,Barack Hussein Obama II,Hawaii; Hoa Kỳ; Honolulu,2012; Chân dung chính thức,* Malia; * Sasha; {{flatlist|; }},,,,,Trường Punahou,,,President_Barack_Obama.jpg,250px,,,,,,30px; Tổng thống thứ 44 của Hoa Kỳ,,,Dân chủ,George W. Bush,Peter Fitzgerald,Alice Palmer,,,,,D.C.); Kalorama (Washington,Barack Obama signature.svg,,Donald Trump,Roland Burris,Kwame Raoul,,20 tháng 1 năm 2017,16 tháng 11 năm 2008,4 tháng 11 năm 2004,,20 tháng 1 năm 2009,3 tháng 1 năm 2005,8 tháng 1 năm 1997,,,,
Beekman Winthrop,https://vi.wikipedia.org/wiki/Beekman_Winthrop,Đại học Harvard,,,,,New Jersey; Orange,Winthrop khoảng năm 1910,,,Hoa Kỳ; New York; New York City,,,,,,File:Beekman Winthrop by George Bain (cropped).jpg,,,,Beekman Winthrop,,,,Trợ lý bộ trưởng bộ hải quân,Trợ lý Bộ trưởng Hải quân,Cộng hòa,,,Herbert Livingston Satterlee,William Henry Hunt,,,,,,,,,Franklin D. Roosevelt,Regis Henri Post,,1913,1909,ngày 17 tháng 4 năm 1907,,1909,1907,ngày 4 tháng 7 năm 1904,,,
Ben Carson,https://vi.wikipedia.org/wiki/Ben_Carson,Đại học Yale,Đại học Michigan (MD); Đại học Yale (BA),Huân chương Spingarn (2006); Huân chương Tự do Tổng thống (2008),,Benjamin Solomon Carson,Detroit; Michigan; Mỹ,,,,,,,,,,Ben Carson official portrait.jpg,,,,Ben Carson,,,Bộ trưởng Gia cư; Phát triển Đô thị Hoa Kỳ thứ 17,,Bệnh viện Johns Hopkins; Giám đốc Phẫu thuật Thần kinh Nhi khoa tại,''The Washington Times'' (November 4; 2014).</ref>; John. [http://www.washingtontimes.com/news/2014/nov/4/ben-carson-officially-switches-parties-returns-gop/ Ben Carson officially changes political parties; Republican (1981–1999; after 2014)<ref>Solomon; rejoins GOP],Julian Castro,,Martin Long,,Donald Trump,,,,Ben Carson Signature.png,,Marcia Fudge,,George Issa Jallo,,Ngày 20 tháng 1 năm 2021,,Ngày 1 tháng 7 năm 2013,,Ngày 2 tháng 3 năm 2017,,Ngày 4 tháng 4 năm 1984,,,,
Ben Roy Mottelson,https://vi.wikipedia.org/wiki/Ben_Roy_Mottelson,Đại học Harvard,Đại học Harvard; Đại học Purdue,,,,Chicago; Hoa Kỳ; Illinois,Ben Mottelson; Copenhagen 1963,,,Copenhagen; Đan Mạch,Julian Schwinger,,,Vật lý hạt nhân,,Ben_1963_Kopenhagen.jpg; Mottelson,,,Hình học của hạt nhân nguyên tử (''Geometry of atomic nuclei''),Ben Roy Mottelson,Đan Mạch & Mỹ,,,,,,,,,,,""">giải Nobel Vật lý (1975)</span>; <span style=""white-space:nowrap",,,,,,,,,,,,,,,,,,Viện Vật lý Lý thuyết Bắc Âu,
Bengt Holmström,https://vi.wikipedia.org/wiki/Bengt_Holmstr%C3%B6m,Đại học Stanford,PhD); Đại học Helsinki (BS); Đại học Stanford (MS,Giải Nobel Kinh tế (2016),,Bengt Robert Holmström,Helsinki; Phần Lan,Bengt Holmström tại Tuần lễ Nobel 2024,,,,Robert B. Wilson,Jonathan Levin<ref> </ref>,,,,Bengt Holmström at 2024 Nobel lecture.jpg,,,,,Phần Lan,,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,,,
Benjamin Lee Whorf,https://vi.wikipedia.org/wiki/Benjamin_Lee_Whorf,Đại học Yale,Học viện công nghệ Massachusetts,,,,Massachusetts; Winthrop,,* Celia Lee Whorf; * Raymond Ben Whorf; * Robert Peckham Whorf; {{Plainlist |; }},,Connecticut; Hartford,,,,,,Blwhorf.jpeg,,,Giả thuyết Sapir–Whorf (thuyết tương đối ngôn ngữ); chữ viết Maya; nghiên cứu tiếng Nahuatl; phạm trù ẩn; tha âm vị,,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Công ty Bảo hiểm Hỏa hoạn Hartford; Đại học Yale,
