source_title,target_title
Barack Obama,Obama (định hướng)
Barack Obama,Tổng thống Hoa Kỳ
Barack Obama,20 tháng 1
Barack Obama,2009
Barack Obama,2017
Barack Obama,Joe Biden
Barack Obama,George W. Bush
Barack Obama,Donald Trump
Barack Obama,Thượng viện Hoa Kỳ
Barack Obama,Illinois
Barack Obama,"Honolulu, Hawaii"
Barack Obama,Đảng Dân chủ (Hoa Kỳ)
Barack Obama,Michelle Obama
Barack Obama,Alma mater
Barack Obama,Đại học Columbia
Barack Obama,Cử nhân Nghệ thuật
Barack Obama,Trường Luật Harvard
Barack Obama,Chính trị gia
Barack Obama,Luật sư
Barack Obama,Danh sách tổng thống Hoa Kỳ
Barack Obama,Người Mỹ gốc Phi
Barack Obama,Lịch sử Hoa Kỳ
Barack Obama,Thượng nghị sĩ Hoa Kỳ
Barack Obama,2005
Barack Obama,2008
Barack Obama,Thượng nghị sĩ
Barack Obama,1997
Barack Obama,2004
Barack Obama,Chicago
Barack Obama,Da màu
Barack Obama,1992
Barack Obama,Tháng mười một
Barack Obama,Hillary Clinton
Barack Obama,Đảng Cộng hòa (Hoa Kỳ)
Barack Obama,John McCain
Barack Obama,Bầu cử tổng thống Hoa Kỳ 2008
Barack Obama,Giải Nobel Hòa bình 2009
Barack Obama,Nhiệm kỳ tổng thống của Barack Obama
Barack Obama,Đạo luật Bảo vệ Bệnh nhân và Chăm sóc Sức khỏe Hợp túi tiền
Barack Obama,Đạo luật cải cách và bảo vệ người tiêu dùng trên phố Wall
Barack Obama,Chiến tranh Afghanistan (2001–2021)
Barack Obama,Nga
Barack Obama,Hoa Kỳ rút quân khỏi Iraq
Barack Obama,Chiến tranh Iraq
Barack Obama,Al-Qaeda
Barack Obama,Can thiệp quân sự vào Libya 2011
Barack Obama,Nghị quyết 1973 của Hội đồng Bảo an Liên Hợp Quốc
Barack Obama,Muammar Gaddafi
Barack Obama,Cái chết của Osama bin Laden
Barack Obama,Bầu cử tổng thống Hoa Kỳ 2012
Barack Obama,Mitt Romney
Barack Obama,Tòa án Tối cao Hoa Kỳ
Barack Obama,Hôn nhân đồng giới ở Hoa Kỳ
Barack Obama,Hôn nhân đồng giới
Barack Obama,Thảm sát Trường tiểu học Sandy Hook
Barack Obama,Biến đổi khí hậu
Barack Obama,Can thiệp của Hoa Kỳ và đồng minh trong nội chiến Syria
Barack Obama,Nhà nước Hồi giáo Iraq và Levant
Barack Obama,Thỏa thuận chung Paris
Barack Obama,Không kích bệnh viện Kunduz
Barack Obama,Chiến tranh Nga-Ukraina
Barack Obama,Cáo buộc Nga can thiệp vào cuộc bầu cử tổng thống Hoa Kỳ 2016
Barack Obama,Kế hoạch hành động toàn diện chung
Barack Obama,Iran
Barack Obama,Tan băng Cuba–Hoa Kỳ
Barack Obama,Sonia Sotomayor
Barack Obama,"Washington, D.C."
Barack Obama,Xếp hạng các tổng thống Hoa Kỳ trong lịch sử
Barack Obama,Bầu cử Hoa Kỳ 2018
Barack Obama,Bầu cử tổng thống Hoa Kỳ 2020
Barack Obama,Honolulu
Barack Obama,Hoa Kỳ lục địa
Barack Obama,Anh
Barack Obama,Kenya
Barack Obama,Tiếng Nga
Barack Obama,Đại học Hawaii
Barack Obama,Seattle
Barack Obama,Đại học Harvard
Barack Obama,Indonesia
Barack Obama,Địa lý
Barack Obama,Jakarta
Barack Obama,Thức uống có cồn
Barack Obama,Cần sa
Barack Obama,Cocaine
Barack Obama,Los Angeles
Barack Obama,Chính trị học
Barack Obama,Quan hệ quốc tế
Barack Obama,Thành phố New York
Barack Obama,Châu Âu
Barack Obama,Đại học Chicago
Barack Obama,Luật hiến pháp
Barack Obama,Dân quyền
Barack Obama,George Walker Bush
Barack Obama,Quốc hội Hoa Kỳ
Barack Obama,Iraq
Barack Obama,Cộng hòa Dân chủ Congo
Barack Obama,2007
Barack Obama,Đông Âu
Barack Obama,Trung Đông
Barack Obama,Châu Phi
Barack Obama,Ukraina
Barack Obama,Azerbaijan
Barack Obama,Vũ khí sinh học
Barack Obama,Vũ khí hủy diệt hàng loạt
Barack Obama,Kuwait
Barack Obama,Jordan
Barack Obama,Israel
Barack Obama,Chính quyền Quốc gia Palestine
Barack Obama,Hamas
Barack Obama,Cộng hòa Nam Phi
Barack Obama,Djibouti
Barack Obama,Ethiopia
Barack Obama,Tchad
Barack Obama,Tham nhũng
Barack Obama,"Bầu cử tổng thống Hoa Kỳ, 2008"
Barack Obama,"Austin, Texas"
Barack Obama,"Springfield, Illinois"
Barack Obama,Nhà Trắng
Barack Obama,Abraham Lincoln
Barack Obama,Một nhà tự chia rẽ
Barack Obama,1858
Barack Obama,Delaware
Barack Obama,Denver
Barack Obama,"Bầu cử tổng thống Hoa Kỳ, 2012"
Barack Obama,Tổng thống
Barack Obama,29 tháng 11
Barack Obama,2012
Barack Obama,"Charlotte, Bắc Carolina"
Barack Obama,Bill Clinton
Barack Obama,Massachusetts
Barack Obama,Paul Ryan
Barack Obama,Franklin D. Roosevelt
Barack Obama,Tối cao Pháp viện Hoa Kỳ
Barack Obama,Điện Capitol Hoa Kỳ
Barack Obama,Nancy Pelosi
Barack Obama,Tiếng Tây Ban Nha
Barack Obama,NASA
Barack Obama,LGBT
Barack Obama,Tòa Bạch Ốc
Barack Obama,Đô la Mỹ
Barack Obama,General Motors
Barack Obama,Fiat
Barack Obama,Ý
Barack Obama,Canada
Barack Obama,Hoa Kỳ
Barack Obama,Hạ viện Hoa Kỳ
Barack Obama,Tuần duyên Hoa Kỳ
Barack Obama,Louisiana
Barack Obama,Đại Tây Dương
Barack Obama,Phong trào bảo tồn
Barack Obama,Nổ súng tại Aurora 2012
Barack Obama,New York Times
Barack Obama,Ai Cập
Barack Obama,Hồi giáo
Barack Obama,Ankara
Barack Obama,Thổ Nhĩ Kỳ
Barack Obama,Thế giới Ả Rập
Barack Obama,Thủ tướng Anh
Barack Obama,David Cameron
Barack Obama,Toronto
Barack Obama,Hội đồng Bảo an Liên Hợp Quốc
Barack Obama,Benjamin Netanyahu
Barack Obama,Jerusalem
Barack Obama,Dmitry Anatolyevich Medvedev
Barack Obama,Ukraine
Barack Obama,Crimea
Barack Obama,Nội chiến Syria
Barack Obama,Cuba
